customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,address,postcode,state
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,060 Morning Avenue,2016,New South Wales
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,6 Meadow Vale Court,2153,New South Wales
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,0,0,0
4,Talbot,0,Male,33,1961-10-03,0,IT,Mass Customer,0 Holy Cross Court,4211,QLD
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,0,Affluent Customer,17979 Del Mar Point,2448,New South Wales
6,Curr,Duckhouse,Male,35,1966-09-16,0,Retail,High Net Worth,9 Oakridge Court,3216,VIC
7,Fina,Merali,Female,6,1976-02-23,0,Financial Services,Affluent Customer,4 Delaware Trail,2210,New South Wales
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,0,Mass Customer,49 Londonderry Lane,2650,New South Wales
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,97736 7th Trail,2023,New South Wales
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,0,0,0
11,Uriah,Bisatt,Male,99,1954-04-30,0,Property,Mass Customer,93405 Ludington Park,3044,VIC
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,44339 Golden Leaf Alley,4557,QLD
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,2 Sutherland Street,3799,VIC
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,9 Mcbride Trail,2760,New South Wales
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,9861 New Castle Avenue,2428,New South Wales
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,0,Mass Customer,52 Moland Street,3331,VIC
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,0,Affluent Customer,82391 Kensington Lane,3058,VIC
18,Marjie,Neasham,Female,79,1967-07-06,Professor,0,Affluent Customer,092 2nd Alley,2135,New South Wales
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,59 Spaight Circle,2233,New South Wales
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,032 Bartelt Crossing,2444,New South Wales
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,18 Jenna Center,2650,New South Wales
22,Deeanne,Durtnell,Female,79,1962-12-10,0,IT,Mass Customer,0,0,0
23,Olav,Polak,Male,43,1995-02-10,0,0,High Net Worth,0,0,0
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,3 Cordelia Plaza,2153,New South Wales
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,28 5th Center,4413,QLD
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,52 Carey Alley,4740,QLD
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,96 Texas Plaza,3218,VIC
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,48 Eagan Avenue,4868,QLD
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,9 Buell Park,4116,QLD
30,Darrick,Helleckas,Male,18,1961-10-18,0,IT,Affluent Customer,02663 Buell Parkway,2519,New South Wales
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,2294 Pleasure Place,2135,New South Wales
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,2951 Petterle Place,2756,New South Wales
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,0,Affluent Customer,63 Lukken Drive,2170,New South Wales
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,833 Luster Way,4005,QLD
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,34 Russell Plaza,4127,QLD
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,0,Affluent Customer,78 Del Sol Hill,2535,New South Wales
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,54 Sage Plaza,4726,QLD
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,90 Lawn Parkway,4805,QLD
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,38726 Ilene Crossing,2212,New South Wales
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,3496 Brown Drive,2207,New South Wales
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,7188 Cody Way,3350,VIC
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,1 Claremont Park,3931,VIC
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,60 Eagan Circle,4018,QLD
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,89314 Eagle Crest Center,4670,QLD
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,2028 Lakewood Place,2480,New South Wales
46,Kaila,Allin,Female,98,1972-02-26,0,0,Affluent Customer,70875 Hudson Point,3212,VIC
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,543 Killdeer Park,2322,New South Wales
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,0,Mass Customer,22125 Ramsey Drive,3198,VIC
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,0,Affluent Customer,3107 Calypso Terrace,2210,New South Wales
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,957 Veith Junction,2047,New South Wales
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,4853 Gulseth Avenue,4503,QLD
52,Curran,Bentson,Male,57,1988-06-22,0,Financial Services,Mass Customer,9 Michigan Terrace,2145,New South Wales
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,62 Steensland Road,4350,QLD
54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,6 Homewood Avenue,2142,New South Wales
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,15 Almo Lane,2029,New South Wales
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,690 Glacier Hill Circle,2127,New South Wales
57,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,0,Mass Customer,89787 Village Green Terrace,4280,QLD
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,18 Elgar Park,2166,New South Wales
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,0,High Net Worth,413 Mayer Street,2046,New South Wales
60,Nadiya,Champerlen,Female,18,1970-02-04,0,Manufacturing,Mass Customer,39 3rd Drive,2026,New South Wales
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,44516 Katie Parkway,2765,New South Wales
62,Sorcha,Roggers,Female,38,1979-07-06,0,IT,Mass Customer,41 Schurz Center,2749,New South Wales
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,68150 Boyd Road,2745,New South Wales
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,11474 Westend Hill,3752,VIC
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,308 Jana Crossing,2153,New South Wales
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,163 Straubel Trail,2217,New South Wales
67,Vernon,0,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,68294 Clarendon Crossing,2230,New South Wales
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,0,Affluent Customer,486 Mariners Cove Plaza,3046,VIC
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,0,Mass Customer,0322 Dryden Court,3183,VIC
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,9 Bonner Road,2070,New South Wales
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,07041 Briar Crest Lane,2213,New South Wales
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,29466 Hanson Pass,4208,QLD
73,Minette,Worters,Female,16,1960-05-27,Teacher,0,Affluent Customer,0212 Forest Run Trail,2774,New South Wales
74,Pansy,Kiddie,Female,94,1969-06-19,0,0,Mass Customer,33055 Menomonie Parkway,4133,QLD
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,4763 Merchant Avenue,2756,New South Wales
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,439 Ridgeway Court,4213,QLD
